uberID,CATAID,RA,Dec,spec_z,stellar_mass,HUBBLE_TYPE,mag_u,mag_g,mag_r,mag_i,mag_Z,mag_Y,mag_J,mag_H,mag_K,u_g,g_r,r_i,Z_Y,Y_J,J_H,H_K,scaled_mag_u,scaled_mag_g,scaled_mag_r,scaled_mag_i,scaled_mag_Z,scaled_mag_Y,scaled_mag_J,scaled_mag_H,scaled_mag_K,scaled_u_g,scaled_g_r,scaled_r_i,scaled_Z_Y,scaled_Y_J,scaled_J_H,scaled_H_K,scaled_spec_z,scaled_stellar_mass,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2,kmeans_cluster,gmm_cluster,subset_kmeans_cluster,subset_gmm_cluster
128980023507290,3874371,129.561379633397,-1.3967777187698,0.05738,9.277024,S0-Sa,20.103428,19.066067,18.523586,18.168621,17.989717,17.68929,17.500301,17.195328,17.203909,1.0373611,0.54248047,0.3549652,0.3004284,0.18898773,0.3049736,-0.0085811615,-0.88624525,-0.6807577,-0.27307048,-0.24388838,-0.16565555,-0.28505567,-0.28106484,-0.36649328,-0.2142255,-0.68117946,-1.1506869,-0.11468127,1.2049104,0.013269664,0.556191,-0.72806245,-1.5887489,-1.8576046,-1.279694470031164,-1.9242179061827864,3.037199,1.8234324,,,5,4,3,3
128980163907821,3874073,129.428660306424,-1.3469913840905905,0.04838,10.0947895,Sab-Scd,18.897038,17.411,16.663834,16.261465,16.026731,15.708039,15.478405,14.978659,15.037495,1.4860382,0.7471657,0.40236855,0.3186922,0.22963428,0.49974632,-0.058835983,-1.8979791,-2.39269,-2.5273142,-2.5310967,-2.5407715,-2.6324835,-2.629443,-2.894881,-2.712975,0.085553676,-0.6065673,0.13331814,1.4171653,0.39840588,1.9219484,-0.9979383,-1.6786852,-0.5243609,-7.849106891918859,-0.1168306100843016,8.016386,-3.0947857,,,6,2,4,2
128980194007361,3873996,129.40082813066098,-1.39012886740353,0.05096,10.303762,E,18.92546,17.110228,16.264061,15.89089,15.675156,15.410039,15.26136,14.999001,15.165765,1.8152332,0.8461666,0.37317085,0.2651167,0.14867878,0.26235962,-0.16676426,-1.874142,-2.7037954,-3.0118866,-2.9755187,-2.966161,-2.985561,-2.8815346,-2.8716786,-2.565028,0.64810693,-0.34339076,-0.019435048,0.7945319,-0.3686677,0.25737935,-1.5775291,-1.6529034,-0.18366185,-8.625868352653386,-0.6368941260358281,8.580129,-3.0828807,-97.46411895751952,-24.97510528564453,6,2,4,2
128980195304338,3852249,129.399693142656,-1.67490387412124,0.05253,11.011233,E,17.512302,15.45182,14.547468,14.166903,13.88911,13.635176,13.461796,13.170158,13.3498125,2.060482,0.9043522,0.38056564,0.2539339,0.1733799,0.29163742,-0.17965412,-3.0592809,-4.419182,-5.092603,-5.0430574,-5.127188,-5.0884576,-4.97168,-4.957701,-4.6595535,1.0672065,-0.1887147,0.019252183,0.66457,-0.13461845,0.46267694,-1.6467496,-1.6372145,0.9697634,-14.50763899686601,0.3049233946702124,10.925352,-2.3250964,-102.70792388916016,-44.79356384277344,6,2,2,1
128980203604379,3852250,129.391267451591,-1.670644821315,0.05216,10.417065,E,18.655441,16.943035,16.111351,15.775707,15.464045,15.200317,15.013335,14.789469,14.862324,1.7124062,0.8316841,0.33564377,0.2637272,0.18698215,0.22386646,-0.072854996,-2.1005926,-2.8767323,-3.1969895,-3.113655,-3.2215948,-3.2340436,-3.1696088,-3.1106758,-2.9150178,0.47238827,-0.38188994,-0.215765,0.7783837,-0.005733678,-0.012536859,-1.0732225,-1.6409119,0.0010604443,-9.26596951097094,-0.4695551651794066,9.00309,-3.0020404,,,6,2,2,1
128980207104061,3852444,129.388530725679,-1.70095855002496,0.0527,8.532589,LBS,20.96697,19.77095,19.342463,19.208662,19.026764,18.782951,18.831095,18.888357,18.692062,1.1960201,0.42848778,0.1338005,0.24381256,-0.048143387,-0.05726242,0.19629478,-0.16203919,0.048344225,0.7195059,1.0034089,1.0891194,1.0107391,1.2646158,1.5646181,1.5022159,-0.41005105,-1.4537163,-1.2717458,0.5469437,-2.2336066,-1.9838285,0.37215182,-1.6355157,-3.0712948,2.6977187532970954,-4.22499322217341,3.3167827,7.299612,,,3,6,0,6
128980208704114,3852235,129.38699601474198,-1.6959051956245903,0.05401,9.942136,E,19.255112,17.60717,16.836441,16.529411,16.280855,16.064617,15.938211,15.767275,15.840155,1.6479416,0.77072906,0.30702972,0.21623802,0.12640572,0.17093658,-0.07287979,-1.5976818,-2.189779,-2.3180933,-2.209755,-2.2332945,-2.2100022,-2.09539,-1.995366,-1.7871844,0.36222634,-0.5439282,-0.36546475,0.22648339,-0.5797105,-0.3836842,-1.0733557,-1.6224251,-0.77323985,-6.434109074012745,-1.5005883969023273,7.0208306,-2.4895172,,,6,2,4,2
128980215404304,3852451,129.380702086858,-1.67806572028849,0.05385,8.801016,E,21.641722,19.9969,19.345257,19.116358,18.849392,18.72179,18.555418,18.524323,18.710514,1.6448212,0.65164375,0.228899,0.12760162,0.1663723,0.031095505,-0.18619156,0.40383792,0.28205764,0.7228929,0.8927105,0.8745081,0.9382742,0.94442475,1.1493912,1.523498,0.35689393,-0.86049557,-0.7742202,-0.80361354,-0.20101719,-1.3642578,-1.6818566,-1.6240239,-2.6336648,2.321160596959998,-3.292173769624306,2.7206457,5.944162,,,3,6,6,3
128980224406699,3575854,129.372104019829,-1.45271453181088,0.05403,8.760493,Sd-Irr,19.953354,19.013842,18.699177,18.582006,18.545706,18.364231,18.566753,18.46978,18.66868,0.93951225,0.31466484,0.117170334,0.18147469,-0.20252228,0.09697342,-0.19890022,-1.0121042,-0.73477715,-0.060233697,0.25187522,0.50706285,0.5146303,0.95759046,1.0871786,1.4752468,-0.848391,-1.7562945,-1.3587496,-0.17752229,-3.6963851,-0.9023181,-1.750104,-1.6222253,-2.6997309,0.9606790332436062,-5.575476630026746,4.5118976,5.752581,,,3,6,6,0
128980265505349,3575623,129.333417248069,-1.5795308415018898,0.05249,9.112888,Sd-Irr,20.237804,18.881067,18.341627,18.065523,18.018661,17.825104,17.902065,17.715889,17.665674,1.3567371,0.53944016,0.27610397,0.19355774,-0.07696152,0.1861763,0.050214767,-0.773551,-0.87211335,-0.49362683,-0.36753136,-0.13063473,-0.1241395,0.18557313,0.2272718,0.31837618,-0.13540572,-1.158769,-0.5272586,-0.037097838,-2.5066657,-0.27682242,-0.41231957,-1.6376143,-2.1252036,-0.723228885370251,-3.409715531745484,4.518053,3.6582332,,,5,6,5,0
